food item,calories,serving_size,total_fat,saturated_fat,cholesterol,sodium,total_carbohydrate,dietary_fiber,sugars,protein
acai primo bowl,510.0,510.0,10.0,3.5,0.0,45.0,101.0,11.0,65.0,8.0
vanilla blue sky bowl,330.0,510.0,9.0,3.0,0.0,85.0,62.0,8.0,33.0,6.0
chunky strawberry bowl,580.0,510.0,16.0,2.5,0.0,135.0,94.0,11.0,50.0,21.0
island pitaya bowl,480.0,510.0,8.0,2.5,0.0,20.0,102.0,11.0,70.0,7.0
ginger shot,25.0,57.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0
tumeric shot,25.0,57.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0
wheatgrass shot,25.0,57.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0
ginger lemon cayenne shot,15.0,57.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
ginger orange cayenne shot,25.0,57.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0
"acai super-antioxidant smoothie, large",540.0,794.0,7.0,2.0,0.0,125.0,110.0,6.0,87.0,10.0
"pb and banana whey protein smoothie, large",810.0,794.0,33.0,9.0,105.0,370.0,89.0,3.0,68.0,42.0
"pb and banana pea protein smoothie, large",810.0,794.0,33.0,8.0,25.0,560.0,73.0,7.0,52.0,41.0
"whey protein berry workout smoothie, large",440.0,794.0,1.5,0.5,40.0,170.0,84.0,5.0,66.0,23.0
"pea protein berry workout smoothie, large",460.0,794.0,1.5,0.0,0.0,270.0,88.0,5.0,70.0,16.0
"pb chocolate love smoothie, large",760.0,794.0,33.0,8.0,25.0,350.0,105.0,7.0,74.0,21.0
"orange c-booster smoothie, large",410.0,794.0,2.0,1.0,0.0,30.0,95.0,3.0,79.0,4.0
"lotta horchata smoothie, large",320.0,794.0,3.0,0.0,0.0,250.0,66.0,2.0,55.0,7.0
"la vida mocha smoothie, large",510.0,794.0,3.5,1.5,10.0,240.0,109.0,2.0,96.0,15.0
"acai super-antioxidant smoothie, medium",440.0,624.0,6.0,1.5,0.0,100.0,89.0,5.0,70.0,8.0
"pb and banana whey protein smoothie, medium",630.0,624.0,23.0,7.0,100.0,290.0,70.0,3.0,53.0,38.0
"pb and banana pea protein smoothie, medium",570.0,624.0,24.0,6.0,20.0,480.0,58.0,5.0,42.0,37.0
"whey protein berry workout smoothie, medium",390.0,624.0,1.5,0.5,40.0,150.0,62.0,5.0,56.0,21.0
"pea protein berry workout smoothie, medium",420.0,624.0,1.5,0.0,0.0,260.0,80.0,5.0,64.0,16.0
"pb chocolate love smoothie, medium",580.0,624.0,24.0,6.0,20.0,270.0,86.0,8.0,62.0,17.0
"orange c-booster smoothie, medium",330.0,624.0,2.0,0.5,0.0,25.0,76.0,3.0,62.0,3.0
"lotta horchata smoothie, medium",280.0,624.0,2.5,0.0,0.0,200.0,57.0,2.0,47.0,6.0
"la vida mocha smoothie, medium",420.0,624.0,2.5,1.5,5.0,200.0,90.0,1.0,79.0,12.0
"acai super-antioxidant smoothie, small",340.0,454.0,4.0,1.0,0.0,80.0,69.0,4.0,54.0,6.0
"pb and banana whey protein smoothie, small",540.0,454.0,22.0,6.0,95.0,260.0,51.0,2.0,38.0,36.0
"pb and banana pea protein smoothie, small",500.0,454.0,22.0,5.0,15.0,450.0,44.0,5.0,31.0,35.0
"whey protein berry workout smoothie, small",300.0,454.0,1.0,0.0,40.0,115.0,52.0,3.0,41.0,19.0
"pea protein berry workout smoothie, small",330.0,454.0,1.5,0.0,0.0,230.0,60.0,3.0,48.0,14.0
"pb chocolate love smoothie, small",400.0,454.0,14.0,4.5,15.0,180.0,64.0,4.0,47.0,12.0
"orange c-booster smoothie, small",240.0,454.0,1.0,0.0,0.0,20.0,56.0,2.0,46.0,3.0
"lotta horchata smoothie, small",190.0,454.0,2.5,0.0,0.0,140.0,38.0,2.0,31.0,4.0
"la vida mocha smoothie, small",270.0,454.0,2.0,1.0,5.0,135.0,58.0,1.0,51.0,8.0
"purely orange juice, large",390.0,794.0,1.5,0.0,0.0,10.0,90.0,2.0,73.0,6.0
"purely carrot juice, large",340.0,794.0,2.0,0.0,0.0,570.0,79.0,23.0,39.0,8.0
"orange carrot twist juice, large",360.0,794.0,2.0,0.0,0.0,290.0,85.0,12.0,56.0,7.0
"purely orange juice, medium",310.0,624.0,1.5,0.0,0.0,5.0,71.0,1.0,57.0,5.0
"purely carrot juice, medium",270.0,624.0,1.5,0.0,0.0,450.0,62.0,18.0,31.0,6.0
"orange carrot twist juice, medium",290.0,624.0,1.5,0.0,0.0,230.0,67.0,10.0,44.0,5.0
"purely orange juice, small",220.0,454.0,1.0,0.0,0.0,0.0,52.0,1.0,42.0,3.0
"purely carrot juice, small",190.0,454.0,1.0,0.0,0.0,330.0,45.0,13.0,22.0,4.0
"orange carrot twist juice, small",210.0,454.0,1.0,0.0,0.0,170.0,48.0,7.0,32.0,4.0
"mango-a-go-go smoothie, large",510.0,794.0,2.0,1.0,0.0,60.0,123.0,4.0,110.0,2.0
"caribbean passion smoothie, large",420.0,794.0,2.0,1.0,0.0,55.0,102.0,4.0,89.0,3.0
"razzmatazz smoothie, large",460.0,794.0,2.0,1.0,0.0,55.0,112.0,4.0,97.0,2.0
"strawberry surf rider smoothie, large",420.0,794.0,2.0,1.0,10.0,25.0,102.0,3.0,92.0,1.0
"aloha pineapple smoothie, large",510.0,794.0,2.0,1.0,0.0,65.0,115.0,4.0,10.0,8.0
"strawberries wild smoothie, large",430.0,794.0,0.5,0.0,0.0,95.0,103.0,4.0,85.0,6.0
"white gummi smoothie, large",590.0,794.0,4.0,2.0,5.0,120.0,135.0,1.0,122.0,4.0
"orange dream smoothie, large",550.0,794.0,2.5,1.0,0.0,160.0,120.0,0.0,111.0,9.0
"peanut butter moo'd smoothie, large",910.0,794.0,28.0,5.0,5.0,420.0,144.0,7.0,119.0,29.0
"matcha green tea blast smoothie, large",500.0,794.0,0.0,0.0,0.0,240.0,105.0,1.0,95.0,14.0
"apple 'n greens smoothie, large",400.0,794.0,1.5,0.0,0.0,70.0,96.0,8.0,74.0,7.0
"vanilla blue sky smoothie, large",360.0,794.0,7.0,4.0,0.0,150.0,77.0,8.0,48.0,4.0
"greens 'n ginger, large",380.0,794.0,1.5,0.0,0.0,40.0,91.0,7.0,77.0,6.0
"mega mango smoothie, large",350.0,794.0,1.0,0.0,0.0,15.0,85.0,6.0,76.0,4.0
"peach perfection smoothie, large",360.0,794.0,1.0,0.0,0.0,40.0,88.0,5.0,76.0,3.0
"pomegranate paradise smoothie, large",380.0,794.0,1.0,0.0,0.0,25.0,93.0,5.0,80.0,3.0
"smooth talkin' mango smoothie, large",440.0,794.0,9.0,1.0,0.0,180.0,88.0,9.0,62.0,7.0
"strawberry whirl smoothie, large",350.0,794.0,1.0,0.0,0.0,25.0,87.0,7.0,65.0,3.0
"mango-a-go-go smoothie, medium",400.0,624.0,1.5,0.5,0.0,45.0,97.0,3.0,87.0,2.0
"caribbean passion smoothie, medium",340.0,624.0,1.5,0.5,0.0,45.0,82.0,3.0,72.0,2.0
"razzmatazz smoothie, medium",360.0,624.0,1.5,0.5,0.0,40.0,87.0,3.0,74.0,1.0
"strawberry surf rider smoothie, medium",340.0,624.0,2.0,0.5,5.0,25.0,84.0,3.0,75.0,1.0
"aloha pineapple smoothie, medium",400.0,624.0,2.0,0.5,0.0,55.0,89.0,4.0,77.0,7.0
"strawberries wild smoothie, medium",340.0,624.0,0.0,0.0,0.0,75.0,81.0,3.0,67.0,5.0
"white gummi smoothie, medium",450.0,624.0,3.0,1.5,5.0,85.0,105.0,1.0,94.0,2.0
"orange dream smoothie, medium",440.0,624.0,2.0,1.0,0.0,125.0,97.0,0.0,89.0,7.0
"peanut butter moo'd smoothie, medium",720.0,624.0,19.0,4.0,5.0,330.0,120.0,5.0,101.0,22.0
"matcha green tea blast smoothie, medium",410.0,624.0,0.0,0.0,0.0,200.0,87.0,1.0,79.0,12.0
"apple 'n greens smoothie, medium",320.0,624.0,1.0,0.0,0.0,55.0,76.0,6.0,58.0,6.0
"vanilla blue sky smoothie, medium",280.0,624.0,5.0,3.0,0.0,110.0,61.0,7.0,37.0,3.0
"greens 'n ginger smoothie, medium",290.0,624.0,1.0,0.0,0.0,30.0,70.0,5.0,60.0,4.0
"mega mango smoothie, medium",310.0,624.0,1.0,0.0,0.0,15.0,74.0,5.0,67.0,3.0
"peach perfection smoothie, medium",310.0,624.0,0.5,0.0,0.0,35.0,76.0,4.0,66.0,3.0
"pomegranate paradise smoothie, medium",320.0,624.0,0.5,0.0,0.0,25.0,80.0,5.0,69.0,2.0
"smooth talkin' mango smoothie, medium",370.0,624.0,8.0,1.0,0.0,150.0,73.0,8.0,52.0,6.0
"strawberry whirl smoothie, medium",300.0,624.0,1.0,0.0,0.0,20.0,75.0,6.0,55.0,3.0
"mango-a-go-go smoothie, small",300.0,454.0,1.0,0.5,0.0,35.0,73.0,2.0,65.0,1.0
