food item,price
acai primo bowl,9.29
vanilla blue sky bowl,9.29
chunky strawberry bowl,9.29
island pitaya bowl,9.29
ginger shot,3.79
tumeric shot,3.79
wheatgrass shot,3.79
ginger lemon cayenne shot,3.79
ginger orange cayenne shot,3.49
"acai super-antioxidant smoothie, large",7.99
"pb and banana whey protein smoothie, large",7.99
"pb and banana pea protein smoothie, large",7.99
"whey protein berry workout smoothie, large",7.99
"pea protein berry workout smoothie, large",7.99
"pb chocolate love smoothie, large",7.99
"orange c-booster smoothie, large",7.99
"lotta horchata smoothie, large",7.89
"la vida mocha smoothie, large",7.89
"acai super-antioxidant smoothie, medium",7.49
"pb and banana whey protein smoothie, medium",7.49
"pb and banana pea protein smoothie, medium",7.49
"whey protein berry workout smoothie, medium",7.49
"pea protein berry workout smoothie, medium",7.49
"pb chocolate love smoothie, medium",7.49
"orange c-booster smoothie, medium",7.49
"lotta horchata smoothie, medium",7.19
"la vida mocha smoothie, medium",7.19
"acai super-antioxidant smoothie, small",6.69
"pb and banana whey protein smoothie, small",6.69
"pb and banana pea protein smoothie, small",6.69
"whey protein berry workout smoothie, small",6.69
"pea protein berry workout smoothie, small",6.69
"pb chocolate love smoothie, small",6.69
"orange c-booster smoothie, small",6.69
"lotta horchata smoothie, small",6.39
"la vida mocha smoothie, small",6.39
"purely orange juice, large",8.49
"purely carrot juice, large",8.49
"orange carrot twist juice, large",8.49
"purely orange juice, medium",7.79
"purely carrot juice, medium",7.79
"orange carrot twist juice, medium",7.79
"purely orange juice, small",6.89
"purely carrot juice, small",6.89
"orange carrot twist juice, small",6.89
"mango-a-go-go smoothie, large",7.39
"caribbean passion smoothie, large",7.39
"razzmatazz smoothie, large",7.39
"strawberry surf rider smoothie, large",7.39
"aloha pineapple smoothie, large",7.39
"strawberries wild smoothie, large",7.39
"white gummi smoothie, large",7.39
"orange dream smoothie, large",7.39
"peanut butter moo'd smoothie, large",7.39
"matcha green tea blast smoothie, large",7.39
"apple 'n greens smoothie, large",7.99
"vanilla blue sky smoothie, large",7.99
"greens 'n ginger, large",7.99
"mega mango smoothie, large",7.99
"peach perfection smoothie, large",7.99
"pomegranate paradise smoothie, large",7.99
"smooth talkin' mango smoothie, large",7.99
"strawberry whirl smoothie, large",7.99
"mango-a-go-go smoothie, medium",6.69
"caribbean passion smoothie, medium",6.69
"razzmatazz smoothie, medium",6.69
"strawberry surf rider smoothie, medium",6.69
"aloha pineapple smoothie, medium",6.69
"strawberries wild smoothie, medium",6.69
"white gummi smoothie, medium",6.69
"orange dream smoothie, medium",6.69
"peanut butter moo'd smoothie, medium",6.69
"matcha green tea blast smoothie, medium",6.69
"apple 'n greens smoothie, medium",7.29
"vanilla blue sky smoothie, medium",7.29
"greens 'n ginger smoothie, medium",7.29
"mega mango smoothie, medium",7.29
"peach perfection smoothie, medium",7.29
"pomegranate paradise smoothie, medium",7.29
"smooth talkin' mango smoothie, medium",7.29
"strawberry whirl smoothie, medium",7.29
"mango-a-go-go smoothie, small",5.89
"caribbean passion smoothie, small",5.89
"razzmatazz smoothie, small",5.89
"strawberry surf rider smoothie, small",5.89
"aloha pineapple smoothie, small",5.89
"strawberries wild smoothie, small",5.89
"white gummi smoothie, small",5.89
"orange dream smoothie, small",5.89
"peanut butter moo'd smoothie, small",5.89
"matcha green tea blast smoothie, small",5.89
"apple 'n greens smoothie, small",6.49
"vanilla blue sky smoothie, small",6.49
