food item,price,calories,serving_size,total_fat,saturated_fat,cholesterol,sodium,total_carbohydrate,dietary_fiber,sugars,protein,notes
acai primo bowl,9.29,510,510,10,3.5,0,45,101,11,65,8,
vanilla blue sky bowl,9.29,330,510,9,3,0,85,62,8,33,6,
chunky strawberry bowl,9.29,580,510,16,2.5,0,135,94,11,50,21,
island pitaya bowl,9.29,480,510,8,2.5,0,20,102,11,70,7,
ginger shot,3.79,25,57,0,0,0,0,6,0,3,0,
tumeric shot,3.79,25,57,0,0,0,0,6,0,3,0,
wheatgrass shot,3.79,25,57,0,0,0,0,5,0,4,0,
ginger lemon cayenne shot,3.79,15,57,0,0,0,0,4,0,1,0,
ginger orange cayenne shot,3.49,25,57,0,0,0,0,5,0,3,0,
"acai super-antioxidant smoothie, large",7.99,540,794,7,2,0,125,110,6,87,10,
"pb and banana whey protein smoothie, large",7.99,810,794,33,9,105,370,89,3,68,42,
"pb and banana pea protein smoothie, large",7.99,810,794,33,8,25,560,73,7,52,41,
"whey protein berry workout smoothie, large",7.99,440,794,1.5,0.5,40,170,84,5,66,23,
"pea protein berry workout smoothie, large",7.99,460,794,1.5,0,0,270,88,5,70,16,
"pb chocolate love smoothie, large",7.99,760,794,33,8,25,350,105,7,74,21,
"orange c-booster smoothie, large",7.99,410,794,2,1,0,30,95,3,79,4,
"lotta horchata smoothie, large",7.89,320,794,3,0,0,250,66,2,55,7,
"la vida mocha smoothie, large",7.89,510,794,3.5,1.5,10,240,109,2,96,15,
"acai super-antioxidant smoothie, medium",7.49,440,624,6,1.5,0,100,89,5,70,8,
"pb and banana whey protein smoothie, medium",7.49,630,624,23,7,100,290,70,3,53,38,
"pb and banana pea protein smoothie, medium",7.49,570,624,24,6,20,480,58,5,42,37,
"whey protein berry workout smoothie, medium",7.49,390,624,1.5,0.5,40,150,62,5,56,21,
"pea protein berry workout smoothie, medium",7.49,420,624,1.5,0,0,260,80,5,64,16,
"pb chocolate love smoothie, medium",7.49,580,624,24,6,20,270,86,8,62,17,
"orange c-booster smoothie, medium",7.49,330,624,2,0.5,0,25,76,3,62,3,
"lotta horchata smoothie, medium",7.19,280,624,2.5,0,0,200,57,2,47,6,
"la vida mocha smoothie, medium",7.19,420,624,2.5,1.5,5,200,90,1,79,12,
"acai super-antioxidant smoothie, small",6.69,340,454,4,1,0,80,69,4,54,6,
"pb and banana whey protein smoothie, small",6.69,540,454,22,6,95,260,51,2,38,36,
"pb and banana pea protein smoothie, small",6.69,500,454,22,5,15,450,44,5,31,35,
"whey protein berry workout smoothie, small",6.69,300,454,1,0,40,115,52,3,41,19,
"pea protein berry workout smoothie, small",6.69,330,454,1.5,0,0,230,60,3,48,14,
"pb chocolate love smoothie, small",6.69,400,454,14,4.5,15,180,64,4,47,12,
"orange c-booster smoothie, small",6.69,240,454,1,0,0,20,56,2,46,3,
"lotta horchata smoothie, small",6.39,190,454,2.5,0,0,140,38,2,31,4,
"la vida mocha smoothie, small",6.39,270,454,2,1,5,135,58,1,51,8,
"purely orange juice, large",8.49,390,794,1.5,0,0,10,90,2,73,6,
"purely carrot juice, large",8.49,340,794,2,0,0,570,79,23,39,8,
"orange carrot twist juice, large",8.49,360,794,2,0,0,290,85,12,56,7,
"purely orange juice, medium",7.79,310,624,1.5,0,0,5,71,1,57,5,
"purely carrot juice, medium",7.79,270,624,1.5,0,0,450,62,18,31,6,
"orange carrot twist juice, medium",7.79,290,624,1.5,0,0,230,67,10,44,5,
"purely orange juice, small",6.89,220,454,1,0,0,0,52,1,42,3,
"purely carrot juice, small",6.89,190,454,1,0,0,330,45,13,22,4,
"orange carrot twist juice, small",6.89,210,454,1,0,0,170,48,7,32,4,
"mango-a-go-go smoothie, large",7.39,510,794,2,1,0,60,123,4,110,2,
"caribbean passion smoothie, large",7.39,420,794,2,1,0,55,102,4,89,3,
"razzmatazz smoothie, large",7.39,460,794,2,1,0,55,112,4,97,2,
"strawberry surf rider smoothie, large",7.39,420,794,2,1,10,25,102,3,92,1,
"aloha pineapple smoothie, large",7.39,510,794,2,1,0,65,115,4,10,8,
"strawberries wild smoothie, large",7.39,430,794,0.5,0,0,95,103,4,85,6,
"white gummi smoothie, large",7.39,590,794,4,2,5,120,135,1,122,4,
"orange dream smoothie, large",7.39,550,794,2.5,1,0,160,120,0,111,9,
"peanut butter moo'd smoothie, large",7.39,910,794,28,5,5,420,144,7,119,29,
"matcha green tea blast smoothie, large",7.39,500,794,0,0,0,240,105,1,95,14,
"apple 'n greens smoothie, large",7.99,400,794,1.5,0,0,70,96,8,74,7,
"vanilla blue sky smoothie, large",7.99,360,794,7,4,0,150,77,8,48,4,
"greens 'n ginger, large",7.99,380,794,1.5,0,0,40,91,7,77,6,
"mega mango smoothie, large",7.99,350,794,1,0,0,15,85,6,76,4,
"peach perfection smoothie, large",7.99,360,794,1,0,0,40,88,5,76,3,
"pomegranate paradise smoothie, large",7.99,380,794,1,0,0,25,93,5,80,3,
"smooth talkin' mango smoothie, large",7.99,440,794,9,1,0,180,88,9,62,7,
"strawberry whirl smoothie, large",7.99,350,794,1,0,0,25,87,7,65,3,
"mango-a-go-go smoothie, medium",6.69,400,624,1.5,0.5,0,45,97,3,87,2,
"caribbean passion smoothie, medium",6.69,340,624,1.5,0.5,0,45,82,3,72,2,
"razzmatazz smoothie, medium",6.69,360,624,1.5,0.5,0,40,87,3,74,1,
"strawberry surf rider smoothie, medium",6.69,340,624,2,0.5,5,25,84,3,75,1,
"aloha pineapple smoothie, medium",6.69,400,624,2,0.5,0,55,89,4,77,7,
"strawberries wild smoothie, medium",6.69,340,624,0,0,0,75,81,3,67,5,
"white gummi smoothie, medium",6.69,450,624,3,1.5,5,85,105,1,94,2,
"orange dream smoothie, medium",6.69,440,624,2,1,0,125,97,0,89,7,
"peanut butter moo'd smoothie, medium",6.69,720,624,19,4,5,330,120,5,101,22,
"matcha green tea blast smoothie, medium",6.69,410,624,0,0,0,200,87,1,79,12,
"apple 'n greens smoothie, medium",7.29,320,624,1,0,0,55,76,6,58,6,
"vanilla blue sky smoothie, medium",7.29,280,624,5,3,0,110,61,7,37,3,
"greens 'n ginger smoothie, medium",7.29,290,624,1,0,0,30,70,5,60,4,
"mega mango smoothie, medium",7.29,310,624,1,0,0,15,74,5,67,3,
"peach perfection smoothie, medium",7.29,310,624,0.5,0,0,35,76,4,66,3,
"pomegranate paradise smoothie, medium",7.29,320,624,0.5,0,0,25,80,5,69,2,
"smooth talkin' mango smoothie, medium",7.29,370,624,8,1,0,150,73,8,52,6,
"strawberry whirl smoothie, medium",7.29,300,624,1,0,0,20,75,6,55,3,
"mango-a-go-go smoothie, small",5.89,300,454,1,0.5,0,35,73,2,65,1,
"caribbean passion smoothie, small",5.89,260,454,1,0,0,35,63,2,55,2,
"razzmatazz smoothie, small",5.89,270,454,1,0,0,30,65,2,56,1,
"strawberry surf rider smoothie, small",5.89,250,454,1.5,0,5,15,60,2,54,1,
"aloha pineapple smoothie, small",5.89,310,454,1.5,0.5,0,45,67,3,59,7,
"strawberries wild smoothie, small",5.89,240,454,0,0,0,50,57,2,47,3,
"white gummi smoothie, small",5.89,320,454,2,1,0,65,74,1,67,2,
"orange dream smoothie, small",5.89,310,454,1.5,0.5,0,95,68,0,63,5,
"peanut butter moo'd smoothie, small",5.89,430,454,10,2,5,190,75,3,63,13,
"matcha green tea blast smoothie, small",5.89,270,454,0,0,0,130,56,1,51,8,
"apple 'n greens smoothie, small",6.49,250,454,1,0,0,50,58,5,44,5,
"vanilla blue sky smoothie, small",6.49,210,454,4.5,2.5,0,90,43,5,27,2,
"greens 'n ginger smoothie, small",6.49,230,454,1,0,0,25,56,4,48,4,
"mega mango smoothie, small",6.49,210,454,0.5,0,0,10,50,3,45,2,
"peach perfection smoothie, small",6.49,210,454,0,0,0,25,51,3,44,2,
"pomegranate paradise smoothie, small",6.49,220,454,0.5,0,0,15,54,3,46,2,
"smooth talkin' mango smoothie, small",6.49,250,454,0.5,0.5,0,100,50,5,36,4,
"strawberry whirl smoothie, small",6.49,210,454,0.5,0,0,15,51,4,38,2,
blueberry strawberry blast-off,4.49,190,283,0,0,0,15,46,3,37,1,
strawberries gone bananas,4.49,150,283,0,0,0,20,36,3,27,1,
spinach 'n cheese breakfast wrap,3.99,240,151,7,3,15,590,30,3,1,15,
"roasted tomato, spinach & feta breakfast sandwich",4.49,240,127,8,3,15,550,30,4,2,11,
apple cinnamon pretzel,2.79,390,141,4.5,0,0,290,78,3,15,9,
